"","PermitNum","PermitClass","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"5437","6670036-CN","Institutional","Non-Residential","Building","Addition/Alteration","Temporary use to allow a transitional encampment for up to 19 people on property owned by the City of Seattle.  The proposal includes tent spaces, portable toilets, an outdoor kitchen, and related accessory facilities. The anticipated duration for the encampment is 4-weeks from 6/24/18 to 7/23/18.",0,0,0,0,"2018-06-26","2018-06-28","2019-12-28","","Issued","8032 15TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670036-CN",47.68791888,-122.37656606,"8032 15TH AVE NW
SEATTLE, WA 98117
(47.68791888, -122.37656606)"
"5471","6694868-CN","Single Family/Duplex","Residential","Building","New","Construct East single family residence (SFR2), per plan. (Establish use as and construct 2 new single family residences, per plan. Review & process for 2 records under permit #6686556-CN).",0,0,1,299964,"2018-10-22","2019-04-19","2020-10-19","","Issued","1136 26TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6694868-CN",47.61260859,-122.29833493,"1136 26TH AVE
SEATTLE, WA 98122
(47.61260859, -122.29833493)"
"5474","6646128-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to portions of an existing rooftop minor communications antenna facility (AT&T), per plans",0,0,0,20000,"2018-08-03","2018-11-05","2020-05-05","","Issued","7504 35TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6646128-CN",47.68332791,-122.29027802,"7504 35TH AVE NE
SEATTLE, WA 98115
(47.68332791, -122.29027802)"
"5478","6634112-PH","Commercial","Non-Residential","Building","New","Phased project:  Construction of a residential and retail building with below grade parking and occupy, per plan.",0,0,0,3.5e+07,"2018-12-17","","","","Reviews In Process","1121 STEWART ST","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6634112-PH",47.61729781,-122.33193712,"1121 STEWART ST
SEATTLE, WA 98101
(47.61729781, -122.33193712)"
"5486","6633585-CN","Multifamily","Residential","Building","New","Establish use as rowhouse and construct a townhouse structure with attached garages, per plan.",0,0,3,595489,"2018-03-26","2018-09-05","2020-03-05","","Completed","2656 NW 62ND ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6633585-CN",47.67405958,-122.39255172,"2656 NW 62ND ST
SEATTLE, WA 98107
(47.67405958, -122.39255172)"
"5487","6700807-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct single family residence, per plan.",0,0,0,282519,"2019-01-29","2019-08-07","2021-02-07","","Issued","528 N 49TH ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6700807-CN",47.66447352,-122.35167753,"528 N 49TH ST
SEATTLE, WA 98103
(47.66447352, -122.35167753)"
"5494","6713106-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Remodel of 3,200 square foot one story single family residence with new 580 square foot new second addition.",0,0,0,279040,"","","","","Scheduled","2601 NW 92ND ST","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6713106-CN",47.6957981,-122.38977825,"2601 NW 92ND ST
SEATTLE, WA 98117
(47.6957981, -122.38977825)"
"5495","6645760-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing commercial building at the rooftop level minor communications antenna facility (AT&T) and at grade level equipment room, per plan.",0,0,0,15000,"2018-07-18","2018-10-29","2020-04-29","","Issued","2909 NE BLAKELEY ST","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6645760-CN",47.66561676,-122.29659985,"2909 NE BLAKELEY ST
SEATTLE, WA 98105
(47.66561676, -122.29659985)"
"5558","6492105-PH","Commercial","Non-Residential","Building","New","Phased project:  Construct west residential tower and retail common base structure, including residential lowrise, with below grade parking, occupy per plan. (Construct mixed-use building with two residential towers above a retail common base structure w/ below grade parking/review & process for 2 records under #6492105-PH).  Mechanical is included.",0,0,1014,142963100,"2016-12-30","2019-04-30","2020-10-30","","In Process","1200 STEWART ST","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6492105-PH",47.61801358,-122.33200861,"1200 STEWART ST
SEATTLE, WA 98101
(47.61801358, -122.33200861)"
"5577","6707924-CN","Vacant Land","Non-Residential","Building","Temporary","Temporary use to allow a transitional encampment for up to 25 people on property owned by the City of Seattle.  The proposal includes tent spaces, portable toilets, an outdoor kitchen, and related accessory facilities. The anticipated duration for the encampment is 4-weeks from 9/16/18 to 10/14/18.",0,0,0,0,"2019-01-16","2019-01-30","2019-01-31","","Issued","3814 4TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6707924-CN",47.65429239,-122.32439301,"3814 4TH AVE NE
SEATTLE, WA 98105
(47.65429239, -122.32439301)"
"5587","6578883-CN","Single Family/Duplex","Residential","Building","New","Establish use as rowhouse and construct a townhouse structure, per plan.",0,0,3,498297,"2017-04-03","2018-06-26","2019-12-26","","Completed","207 16TH AVE","SEATTLE","WA",98122,"RON THORESON","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6578883-CN",47.6038233,-122.31151785,"207 16TH AVE
SEATTLE, WA 98122
(47.6038233, -122.31151785)"
"5592","6716691-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Repair and replace retaining walls, and associated site work, accessory to exiting single family residence, per plan.",0,0,0,35000,"2019-05-21","2019-08-02","2021-02-02","","Issued","5030 BEACH DR SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6716691-CN",47.5568582,-122.40014264,"5030 BEACH DR SW
SEATTLE, WA 98136
(47.5568582, -122.40014264)"
"5603","6689227-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Dormer addition and interior alterations for a single-family residence, per plan.",1,0,0,16208,"2018-09-25","2018-11-12","2020-05-12","","Withdrawn","1150 18TH AVE E","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6689227-CN",47.63015138,-122.30832581,"1150 18TH AVE E
SEATTLE, WA 98112
(47.63015138, -122.30832581)"
"5653","6683869-CN","Single Family/Duplex","Residential","Building","New","Construct East duplex, per plan.  (Establish use as townhouse and construct 2 duplexes.  Review & process for 2 records under 6683869-CN).",0,0,4,208130,"2018-11-01","2019-06-05","2020-12-05","","Issued","5201 RAVENNA AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6683869-CN",47.66658485,-122.30373155,"5201 RAVENNA AVE NE
SEATTLE, WA 98105
(47.66658485, -122.30373155)"
"5679","6612581-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations and additions to single family residence, per plan.",1,0,0,250000,"2018-06-14","2018-08-20","2020-02-20","","Issued","508 NW 44TH ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6612581-CN",47.66065335,-122.36331587,"508 NW 44TH ST
SEATTLE, WA 98107
(47.66065335, -122.36331587)"
"5680","6703006-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing minor communication utility (AT&T) on the rooftop of existing structure, per plans.",0,0,0,10000,"2019-02-25","2019-07-08","2021-01-08","","Issued","2713 BOYLSTON AVE E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6703006-CN",47.64493381,-122.3237122,"2713 BOYLSTON AVE E
SEATTLE, WA 98102
(47.64493381, -122.3237122)"
"5685","6641962-CN","Industrial","Non-Residential","Building","New","Construct foundation and install a pre-manufactured metal building, occupy per plan.",0,0,0,59040,"2018-06-20","","","","Corrections Required","4500 WEST MARGINAL WAY SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6641962-CN",47.56319996,-122.3506834,"4500 WEST MARGINAL WAY SW
SEATTLE, WA 98106
(47.56319996, -122.3506834)"
"5698","6614244-CN","Single Family/Duplex","Residential","Building","New","Construct south (SFR-1), per plan. (Establish use as and construct (2) single family residences, per plan. Review and processing for 2 A/P's under 6614244)",0,0,2,236689,"2018-03-05","2018-10-18","2020-04-18","","Issued","5445 B FAUNTLEROY WAY SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6614244-CN",47.55244064,-122.38223057,"5445 B FAUNTLEROY WAY SW
SEATTLE, WA 98136
(47.55244064, -122.38223057)"
"5702","6700808-CN","Multifamily","Residential","Building","Addition/Alteration","Construct alterations to convert garages to new dwelling units in existing apartment building at the ground floor level, occupy per plan.",26,0,5,226434,"","","","","Additional Info Requested","3032 NE 140TH ST","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6700808-CN",47.73038947,-122.29486711,"3032 NE 140TH ST
SEATTLE, WA 98125
(47.73038947, -122.29486711)"
"5710","6714868-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct 2nd-story deck for existing single family residence, per plan.",0,0,0,28000,"2019-04-03","2019-06-04","2020-12-04","","Issued","4413 DAYTON AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6714868-CN",47.66071243,-122.35232211,"4413 DAYTON AVE N
SEATTLE, WA 98103
(47.66071243, -122.35232211)"
"5716","6674609-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct initial tenant improvement to ground floor tenant space in a mixed-use building for a Whole Foods Grocery, occupy per plans, Mechanical included this permit.",389,0,0,5233645,"2018-10-25","2019-03-15","2020-09-15","","Issued","4755 FAUNTLEROY WAY SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6674609-CN",47.56015137,-122.38188059,"4755 FAUNTLEROY WAY SW
SEATTLE, WA 98116
(47.56015137, -122.38188059)"
"5719","6655116-CN","Institutional","Non-Residential","Building","Addition/Alteration","Construct tenant improvements to east and west building's basement levels. Harborview, per plans.",0,0,0,40000,"2018-04-20","2018-08-29","2020-02-29","2019-03-05","Completed","325 9TH AVE","SEATTLE","WA",98104,"U OF W BUILDING PERMIT","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6655116-CN",47.60399886,-122.32378355,"325 9TH AVE
SEATTLE, WA 98104
(47.60399886, -122.32378355)"
"5722","6670500-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and substantial alterations to existing single family residence, per plan.",1,0,0,2e+05,"2018-05-30","2018-08-07","2020-02-07","","Issued","903 N 79TH ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670500-CN",47.68605697,-122.34696737,"903 N 79TH ST
SEATTLE, WA 98103
(47.68605697, -122.34696737)"
"5737","6608565-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and alterations to existing single family residence, per plan",0,0,0,220000,"2018-04-17","","","","Corrections Required","806 35TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6608565-CN",47.60947082,-122.28806385,"806 35TH AVE
SEATTLE, WA 98122
(47.60947082, -122.28806385)"
"5764","6730387-DM","Single Family/Duplex","Residential","Demolition","","Demolish basement and portions of main floor of single family residence and relocate remaining single family residence to (address for lot 10 here), per plans.",1,0,1,206626,"2019-08-19","","","","Application Completed","1005 NE 72ND ST","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6730387-DM",47.68065322,-122.31706206,"1005 NE 72ND ST
SEATTLE, WA 98115
(47.68065322, -122.31706206)"
"5772","6641087-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence, per plan.",0,0,1,328429,"2018-03-22","2018-12-11","2020-06-11","","Issued","9131 8TH AVE S","SEATTLE","WA",98108,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6641087-CN",47.52137858,-122.32393884,"9131 8TH AVE S
SEATTLE, WA 98108
(47.52137858, -122.32393884)"
"5774","6590378-CN","Multifamily","Residential","Building","New","Construct bldg. D, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",0,0,4,921076,"2017-04-07","2018-02-13","2021-02-13","","Issued","8620 22ND PL NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6590378-CN",47.69165155,-122.3049323,"8620 22ND PL NE
SEATTLE, WA 98115
(47.69165155, -122.3049323)"
"5796","6724557-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing single family residence, per plan.",1,0,0,3e+05,"2018-06-22","2018-10-17","2020-11-14","","Issued","9612 20TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6724557-DM",47.69886919,-122.30664914,"9612 20TH AVE NE
SEATTLE, WA 98115
(47.69886919, -122.30664914)"
"5800","6666463-CN","Single Family/Duplex","Residential","Building","New","Establish use as duplex and construct a two-family dwelling, per plans.",0,0,2,287871,"2018-10-10","2019-04-05","2020-10-05","","Issued","5513 35TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6666463-CN",47.66900362,-122.29070847,"5513 35TH AVE NE
SEATTLE, WA 98105
(47.66900362, -122.29070847)"
"5804","6690556-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Remove existing garage, Establish use and construct a Detached Accessory Dwelling Unit, per plan.",1,0,1,111088,"2019-01-15","2019-05-31","2020-11-30","","Issued","8717 PALATINE AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6690556-CN",47.69301747,-122.3569409,"8717 PALATINE AVE N
SEATTLE, WA 98103
(47.69301747, -122.3569409)"
"5808","6617837-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct additions and alterations to existing single family residence, per plan.",1,0,0,88330,"2018-05-30","2018-08-28","2020-02-28","","Issued","4020 PHINNEY AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6617837-CN",47.65611853,-122.35419494,"4020 PHINNEY AVE N
SEATTLE, WA 98103
(47.65611853, -122.35419494)"
"5810","6692299-CN","Multifamily","Residential","Building","Addition/Alteration","New kitchen and bathroom remodel for exististing Condo office space.  Returning to original Residential (Condo) use.",24,0,1,15000,"","","","","Additional Info Requested","81 VINE ST","SEATTLE","WA",98121,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6692299-CN",47.61455494,-122.35025739,"81 VINE ST
SEATTLE, WA 98121
(47.61455494, -122.35025739)"
"5849","6634818-CN","Multifamily","Residential","Building","Addition/Alteration","Construct alterations to re-clad an existing multifamily building, per plan.",0,0,0,590000,"2019-02-04","2019-06-04","2020-12-04","","Issued","215 14TH AVE E","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6634818-CN",47.6204247,-122.31461716,"215 14TH AVE E
SEATTLE, WA 98112
(47.6204247, -122.31461716)"
"5888","6602556-CN","Single Family/Duplex","Residential","Building","New","Construct West single family dwelling with attached parking, per plan. (Establish use as residence and townhouse, construct two single family dwellings and one two family dwelling. Review and processing for 3 AP's under 6602556.) Mechanical included.",0,0,4,378716,"2017-12-28","2018-11-13","2020-05-13","","Issued","511 HOWE ST","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6602556-CN",47.6354894,-122.34694455,"511 HOWE ST
SEATTLE, WA 98109
(47.6354894, -122.34694455)"
"5889","6600649-CN","Single Family/Duplex","Residential","Building","New","Construct duplex/row house with surface parking, per plan",0,0,2,451742,"2018-06-19","2019-03-27","2020-09-27","","Issued","612 NW 85TH ST","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6600649-CN",47.69095388,-122.36395471,"612 NW 85TH ST
SEATTLE, WA 98117
(47.69095388, -122.36395471)"
